location_id,source_layer,name,latitude,longitude,dedup_status,matched_ref,match_distance_m,amenity,highway,operator,brand,capacity,ref,province,district,city,n_points,total_power_kw,max_power_kw,nearest_dk_odcinek_id,nearest_dk_droga,nearest_dk_dist_m,nearest_dk_ten_t,nearest_dk_sdrr_ogolem,nearest_dk_sam_osobowe,nearest_dk_lekkie_ciezarowe,nearest_dw_odcinek_id,nearest_dw_droga,nearest_dw_dist_m,nearest_dw_sdrr_ogolem,nearest_dw_sam_osobowe,traffic_primary_source,traffic_primary_dist_m,traffic_primary_sdrr_ogolem,traffic_primary_sam_osobowe,ten_t,existing_eipa_stations_1km,existing_eipa_power_kw_1km,existing_eipa_stations_2km,existing_eipa_power_kw_2km,teryt_powiat_geo,powiat_nazwa_geo,station_suspended,existing_eipa_stations_active_1km,existing_eipa_power_kw_active_1km,existing_eipa_stations_active_2km,existing_eipa_power_kw_active_2km,traffic_confidence,nearest_dk_coord_source,nearest_dw_coord_source,moc_nieznana,existing_eipa_moc_nieznana_liczba_1km,existing_eipa_moc_nieznana_liczba_2km,moc_szacowana,powiat_wojewodztwo,powiat_nazwa,powiat_powierzchnia_km2,powiat_ludnosc,powiat_gestosc_zaludnienia,cepik_dane_dostepne,powiat_liczba_bev,powiat_liczba_phev,powiat_liczba_ev_razem,powiat_ev_na_1000_mieszkancow,powiat_liczba_stacji_eipa,powiat_moc_stacji_eipa_kw,powiat_moc_kw_na_1000_mieszkancow,powiat_scalony_obszar,powiat_ev_dane_zanizone,segment,udzial_jednorodzinne_nsp
eipa_station_04554,eipa_station,HUB ładowania ORLEN Stacja Paliw Szczecin SŁ8280,53.361591,14.74158,unique,,,,,ORLEN S.A.,,,,zachodniopomorskie,Szczecin,Szczecin,4.0,1600.0,400.0,60716,A6,3193.4743911913965,bazowa,36924.0,27955.0,3281.0,32180,119,3644.789283867237,7373.0,5843.0,dk,3193.4743911913965,36924.0,27955.0,bazowa,3,1764.0,3,1764.0,3214,powiat stargardzki,False,3,1764.0,3,1764.0,srednia,oryginalne,oryginalne,False,0,0,False,ZACHODNIOPOMORSKIE,stargardzki,1523,118844,78.0,True,197.0,88.0,285.0,2.4,15.0,4341.0,,False,False,docelowa,0.6956149470980368
eipa_station_04555,eipa_station,HUB ładowania ORLEN Stacja Paliw Szczecin SŁ8280,53.361591,14.74158,unique,,,,,ORLEN S.A.,,,,zachodniopomorskie,Szczecin,Szczecin,4.0,1600.0,400.0,60716,A6,3193.4743911913965,bazowa,36924.0,27955.0,3281.0,32180,119,3644.789283867237,7373.0,5843.0,dk,3193.4743911913965,36924.0,27955.0,bazowa,3,1764.0,3,1764.0,3214,powiat stargardzki,False,3,1764.0,3,1764.0,srednia,oryginalne,oryginalne,False,0,0,False,ZACHODNIOPOMORSKIE,stargardzki,1523,118844,78.0,True,197.0,88.0,285.0,2.4,15.0,4341.0,,False,False,docelowa,0.6956149470980368
eipa_station_04556,eipa_station,"Przylesie 3, 03-153 Warszawa",52.345069,20.9537621,unique,,,,,CHARGE POLSKA SP Z O O,,,,mazowieckie,Warszawa,Warszawa,2.0,22.0,11.0,11305,61a,1921.271704634192,,52371.0,47095.0,3022.0,14377,633,5968.198541944536,21296.0,18839.0,dk,1921.271704634192,52371.0,47095.0,,4,524.0,6,679.0,1465,powiat Warszawa,False,4,524.0,6,679.0,wysoka,oryginalne,oryginalne,False,0,0,False,MAZOWIECKIE,M. st. Warszawa,517,1863845,3604.0,True,22183.0,15978.0,38161.0,20.47,565.0,52028.0,,False,False,docelowa,0.6827383185005853
eipa_station_04557,eipa_station,Gorczański Park Narodowy,49.61530645,20.06542019,unique,1_osm_matches,,,,GO+ EAuto sp. z o.o.,,,,małopolskie,limanowski,Poręba Wielka,2.0,22.0,11.0,20806,28,4145.912428510641,,8071.0,6527.0,954.0,12101,968,5210.0736596743545,7316.0,6217.0,dk,4145.912428510641,8071.0,6527.0,,0,0.0,0,0.0,1207,powiat limanowski,False,0,0.0,0,0.0,srednia,oryginalne,oryginalne,False,0,0,False,MAŁOPOLSKIE,limanowski,951,131626,138.0,True,285.0,82.0,367.0,2.79,6.0,645.0,,False,False,docelowa,0.9739121287562678
eipa_station_04558,eipa_station,Park Narodowy Bory Tucholskie,53.734009,17.5103247,unique,,,,,GO+ EAuto sp. z o.o.,,,,pomorskie,chojnicki,Charzykowy,2.0,22.0,11.0,70215,22d,5555.733842679289,,7954.0,5570.0,801.0,22206,212,2677.8481371067955,7759.0,6453.0,dw,2677.8481371067955,7759.0,6453.0,,1,22.0,2,66.0,2202,powiat chojnicki,False,1,22.0,2,66.0,srednia,oryginalne,oryginalne,False,0,0,False,POMORSKIE,chojnicki,1364,95536,70.0,True,222.0,49.0,271.0,2.84,23.0,2414.0,,False,False,docelowa,0.8585699263932702
eipa_station_04559,eipa_station,"Tatrzańska 1, 60-413 Poznań",52.4294804,16.8494745,unique,,,,,ANWIM S.A.,,,,wielkopolskie,Poznań,Poznań,3.0,262.0,120.0,90834,92,3474.668261791633,,53045.0,47145.0,3185.0,30221,307,6011.701272760928,20586.0,17560.0,dk,3474.668261791633,53045.0,47145.0,,0,0.0,6,826.0,3064,powiat Poznań,False,0,0.0,6,826.0,srednia,oryginalne,oryginalne,False,0,0,False,WIELKOPOLSKIE,Poznań + poznański (obszar metropolitalny),2162,990434,458.1,True,10237.0,4968.0,15205.0,15.35,337.0,41222.0,41.62,True,True,docelowa,0.6398746506309816
eipa_station_04560,eipa_station,"Morska 116A, 81-225 Gdynia",54.5318008,18.4956554,unique,,,,,ANWIM S.A.,,,,pomorskie,Gdynia,Gdynia,3.0,262.0,120.0,70314,S7w,2772.1429803871847,bazowa,34154.0,30337.0,2497.0,22859,468,6312.306286937868,47675.0,43356.0,dk,2772.1429803871847,34154.0,30337.0,bazowa,4,208.0,9,351.0,2262,powiat Gdynia,False,4,208.0,9,351.0,srednia,oryginalne,oryginalne,False,0,0,False,POMORSKIE,Gdynia,392,240084,613.0,True,2300.0,766.0,3066.0,12.77,76.0,5889.0,,False,False,docelowa,0.5563383877061316
eipa_station_04561,eipa_station,HUB ładowania ORLEN Stacja Paliw Gorzów Wielkopolski SŁ8144,52.745068,15.156206,unique,,,,,ORLEN S.A.,,,,lubuskie,Gorzów Wielkopolski,Gorzów Wielkopolski,2.0,800.0,400.0,31723,S3a,804.6327271022018,bazowa,26355.0,19138.0,2166.0,8036,151,7608.226702768515,5096.0,4345.0,dk,804.6327271022018,26355.0,19138.0,bazowa,4,2494.0,4,2494.0,861,powiat Gorzów Wielkopolski,False,4,2494.0,4,2494.0,wysoka,oryginalne,oryginalne,False,0,0,False,LUBUSKIE,Gorzów Wielkopolski + gorzowski (obszar metropolitalny),1300,188779,145.2,True,976.0,616.0,1592.0,8.43,59.0,10496.0,55.6,True,True,korytarzowa,0.5658283270542714
eipa_station_04562,eipa_station,HUB ładowania ORLEN Stacja Paliw Gorzów Wielkopolski SŁ8144,52.745068,15.156206,unique,,,,,ORLEN S.A.,,,,lubuskie,Gorzów Wielkopolski,Gorzów Wielkopolski,2.0,800.0,400.0,31723,S3a,804.6327271022018,bazowa,26355.0,19138.0,2166.0,8036,151,7608.226702768515,5096.0,4345.0,dk,804.6327271022018,26355.0,19138.0,bazowa,4,2494.0,4,2494.0,861,powiat Gorzów Wielkopolski,False,4,2494.0,4,2494.0,wysoka,oryginalne,oryginalne,False,0,0,False,LUBUSKIE,Gorzów Wielkopolski + gorzowski (obszar metropolitalny),1300,188779,145.2,True,976.0,616.0,1592.0,8.43,59.0,10496.0,55.6,True,True,korytarzowa,0.5658283270542714
eipa_station_04563,eipa_station,HUB ładowania ORLEN Stacja Paliw Gorzów Wielkopolski SŁ8144,52.745068,15.156206,unique,,,,,ORLEN S.A.,,,,lubuskie,Gorzów Wielkopolski,Gorzów Wielkopolski,2.0,800.0,400.0,31723,S3a,804.6327271022018,bazowa,26355.0,19138.0,2166.0,8036,151,7608.226702768515,5096.0,4345.0,dk,804.6327271022018,26355.0,19138.0,bazowa,4,2494.0,4,2494.0,861,powiat Gorzów Wielkopolski,False,4,2494.0,4,2494.0,wysoka,oryginalne,oryginalne,False,0,0,False,LUBUSKIE,Gorzów Wielkopolski + gorzowski (obszar metropolitalny),1300,188779,145.2,True,976.0,616.0,1592.0,8.43,59.0,10496.0,55.6,True,True,korytarzowa,0.5658283270542714
eipa_station_04564,eipa_station,HUB ładowania ORLEN Stacja Paliw Gorzów Wielkopolski SŁ8144,52.745068,15.156206,unique,,,,,ORLEN S.A.,,,,lubuskie,Gorzów Wielkopolski,Gorzów Wielkopolski,2.0,800.0,400.0,31723,S3a,804.6327271022018,bazowa,26355.0,19138.0,2166.0,8036,151,7608.226702768515,5096.0,4345.0,dk,804.6327271022018,26355.0,19138.0,bazowa,4,2494.0,4,2494.0,861,powiat Gorzów Wielkopolski,False,4,2494.0,4,2494.0,wysoka,oryginalne,oryginalne,False,0,0,False,LUBUSKIE,Gorzów Wielkopolski + gorzowski (obszar metropolitalny),1300,188779,145.2,True,976.0,616.0,1592.0,8.43,59.0,10496.0,55.6,True,True,korytarzowa,0.5658283270542714
eipa_station_04565,eipa_station,HUB ładowania ORLEN Stacja Paliw Olsztynek SŁ8169,53.582374,20.180239,unique,,,,,ORLEN S.A.,,,,warmińsko-mazurskie,olsztyński,Olsztynek,2.0,800.0,400.0,51316,"S7g
S7j",514.5178208204641,bazowa,23345.0,17094.0,1681.0,28086,542,7842.729700564449,2461.0,2028.0,dk,514.5178208204641,23345.0,17094.0,bazowa,4,2594.0,4,2594.0,2814,powiat olsztyński,False,4,2594.0,4,2594.0,wysoka,oryginalne,oryginalne,False,0,0,False,WARMIŃSKO-MAZURSKIE,Olsztyn + olsztyński (obszar metropolitalny),2926,296952,101.5,True,1549.0,636.0,2185.0,7.36,101.0,13334.0,44.9,True,True,korytarzowa,0.6621621621621622
eipa_station_04566,eipa_station,HUB ładowania ORLEN Stacja Paliw Olsztynek SŁ8169,53.582374,20.180239,unique,,,,,ORLEN S.A.,,,,warmińsko-mazurskie,olsztyński,Olsztynek,2.0,800.0,400.0,51316,"S7g
S7j",514.5178208204641,bazowa,23345.0,17094.0,1681.0,28086,542,7842.729700564449,2461.0,2028.0,dk,514.5178208204641,23345.0,17094.0,bazowa,4,2594.0,4,2594.0,2814,powiat olsztyński,False,4,2594.0,4,2594.0,wysoka,oryginalne,oryginalne,False,0,0,False,WARMIŃSKO-MAZURSKIE,Olsztyn + olsztyński (obszar metropolitalny),2926,296952,101.5,True,1549.0,636.0,2185.0,7.36,101.0,13334.0,44.9,True,True,korytarzowa,0.6621621621621622
eipa_station_04567,eipa_station,HUB ładowania ORLEN Stacja Paliw Olsztynek SŁ8169,53.582374,20.180239,unique,,,,,ORLEN S.A.,,,,warmińsko-mazurskie,olsztyński,Olsztynek,2.0,800.0,400.0,51316,"S7g
S7j",514.5178208204641,bazowa,23345.0,17094.0,1681.0,28086,542,7842.729700564449,2461.0,2028.0,dk,514.5178208204641,23345.0,17094.0,bazowa,4,2594.0,4,2594.0,2814,powiat olsztyński,False,4,2594.0,4,2594.0,wysoka,oryginalne,oryginalne,False,0,0,False,WARMIŃSKO-MAZURSKIE,Olsztyn + olsztyński (obszar metropolitalny),2926,296952,101.5,True,1549.0,636.0,2185.0,7.36,101.0,13334.0,44.9,True,True,korytarzowa,0.6621621621621622
eipa_station_04568,eipa_station,HUB ładowania ORLEN Stacja Paliw Olsztynek SŁ8169,53.582374,20.180239,unique,,,,,ORLEN S.A.,,,,warmińsko-mazurskie,olsztyński,Olsztynek,2.0,800.0,400.0,51316,"S7g
S7j",514.5178208204641,bazowa,23345.0,17094.0,1681.0,28086,542,7842.729700564449,2461.0,2028.0,dk,514.5178208204641,23345.0,17094.0,bazowa,4,2594.0,4,2594.0,2814,powiat olsztyński,False,4,2594.0,4,2594.0,wysoka,oryginalne,oryginalne,False,0,0,False,WARMIŃSKO-MAZURSKIE,Olsztyn + olsztyński (obszar metropolitalny),2926,296952,101.5,True,1549.0,636.0,2185.0,7.36,101.0,13334.0,44.9,True,True,korytarzowa,0.6621621621621622
eipa_station_04569,eipa_station,HUB ładowania ORLEN Stacja Paliw Barnisław SŁ8157,53.338415,14.423071,unique,,,,,ORLEN S.A.,,,,zachodniopomorskie,policki,Kołbaskowo,2.0,800.0,400.0,60714,A6,1324.915157008127,bazowa,14956.0,10484.0,1382.0,32223,120,10368.760829891198,10346.0,9507.0,dk,1324.915157008127,14956.0,10484.0,bazowa,9,5888.0,9,5888.0,3211,powiat policki,False,9,5888.0,9,5888.0,wysoka,oryginalne,oryginalne,False,0,0,False,ZACHODNIOPOMORSKIE,policki,664,86834,131.0,True,356.0,172.0,528.0,6.08,25.0,8382.0,,False,False,korytarzowa,0.7942286348501665
eipa_station_04570,eipa_station,HUB ładowania ORLEN Stacja Paliw Barnisław SŁ8157,53.338415,14.423071,unique,,,,,ORLEN S.A.,,,,zachodniopomorskie,policki,Kołbaskowo,2.0,800.0,400.0,60714,A6,1324.915157008127,bazowa,14956.0,10484.0,1382.0,32223,120,10368.760829891198,10346.0,9507.0,dk,1324.915157008127,14956.0,10484.0,bazowa,9,5888.0,9,5888.0,3211,powiat policki,False,9,5888.0,9,5888.0,wysoka,oryginalne,oryginalne,False,0,0,False,ZACHODNIOPOMORSKIE,policki,664,86834,131.0,True,356.0,172.0,528.0,6.08,25.0,8382.0,,False,False,korytarzowa,0.7942286348501665
eipa_station_04571,eipa_station,HUB ładowania ORLEN Stacja Paliw Barnisław SŁ8157,53.338415,14.423071,unique,,,,,ORLEN S.A.,,,,zachodniopomorskie,policki,Kołbaskowo,2.0,800.0,400.0,60714,A6,1324.915157008127,bazowa,14956.0,10484.0,1382.0,32223,120,10368.760829891198,10346.0,9507.0,dk,1324.915157008127,14956.0,10484.0,bazowa,9,5888.0,9,5888.0,3211,powiat policki,False,9,5888.0,9,5888.0,wysoka,oryginalne,oryginalne,False,0,0,False,ZACHODNIOPOMORSKIE,policki,664,86834,131.0,True,356.0,172.0,528.0,6.08,25.0,8382.0,,False,False,korytarzowa,0.7942286348501665
eipa_station_04572,eipa_station,HUB ładowania ORLEN Stacja Paliw Barnisław SŁ8157,53.338415,14.423071,unique,,,,,ORLEN S.A.,,,,zachodniopomorskie,policki,Kołbaskowo,2.0,800.0,400.0,60714,A6,1324.915157008127,bazowa,14956.0,10484.0,1382.0,32223,120,10368.760829891198,10346.0,9507.0,dk,1324.915157008127,14956.0,10484.0,bazowa,9,5888.0,9,5888.0,3211,powiat policki,False,9,5888.0,9,5888.0,wysoka,oryginalne,oryginalne,False,0,0,False,ZACHODNIOPOMORSKIE,policki,664,86834,131.0,True,356.0,172.0,528.0,6.08,25.0,8382.0,,False,False,korytarzowa,0.7942286348501665
eipa_station_04573,eipa_station,HUB ładowania ORLEN Stacja Paliw Barnisław SŁ8158,53.336666,14.421633,unique,,,,,ORLEN S.A.,,,,zachodniopomorskie,policki,Kołbaskowo,2.0,800.0,400.0,60718,13,1259.8539839048922,,3918.0,3297.0,172.0,32223,120,10233.743545127612,10346.0,9507.0,dk,1259.8539839048922,3918.0,3297.0,,9,5888.0,9,5888.0,3211,powiat policki,False,9,5888.0,9,5888.0,wysoka,oryginalne,oryginalne,False,0,0,False,ZACHODNIOPOMORSKIE,policki,664,86834,131.0,True,356.0,172.0,528.0,6.08,25.0,8382.0,,False,False,docelowa,0.7942286348501665
eipa_station_04574,eipa_station,HUB ładowania ORLEN Stacja Paliw Barnisław SŁ8158,53.336666,14.421633,unique,,,,,ORLEN S.A.,,,,zachodniopomorskie,policki,Kołbaskowo,2.0,800.0,400.0,60718,13,1259.8539839048922,,3918.0,3297.0,172.0,32223,120,10233.743545127612,10346.0,9507.0,dk,1259.8539839048922,3918.0,3297.0,,9,5888.0,9,5888.0,3211,powiat policki,False,9,5888.0,9,5888.0,wysoka,oryginalne,oryginalne,False,0,0,False,ZACHODNIOPOMORSKIE,policki,664,86834,131.0,True,356.0,172.0,528.0,6.08,25.0,8382.0,,False,False,docelowa,0.7942286348501665
eipa_station_04575,eipa_station,HUB ładowania ORLEN Stacja Paliw Barnisław SŁ8158,53.336666,14.421633,unique,,,,,ORLEN S.A.,,,,zachodniopomorskie,policki,Kołbaskowo,2.0,800.0,400.0,60718,13,1259.8539839048922,,3918.0,3297.0,172.0,32223,120,10233.743545127612,10346.0,9507.0,dk,1259.8539839048922,3918.0,3297.0,,9,5888.0,9,5888.0,3211,powiat policki,False,9,5888.0,9,5888.0,wysoka,oryginalne,oryginalne,False,0,0,False,ZACHODNIOPOMORSKIE,policki,664,86834,131.0,True,356.0,172.0,528.0,6.08,25.0,8382.0,,False,False,docelowa,0.7942286348501665
