osm_id,osm_type,source_layer,name,capacity,access,brand,stars,rooms,powierzchnia_m2,latitude,longitude
22717550,way,centrum_handlowe,Wola Park,,,,,,53264.86376953125,52.241725802816894,20.93256138591549
22717599,way,centrum_handlowe,Galeria Bemowo,,,,,,18258.8984375,52.26410704740741,20.930789712592585
23653206,way,centrum_handlowe,King Cross Praga,,,,,,20580.02978515625,52.2355490631579,21.119725405263157
24440480,way,centrum_handlowe,Poznań Plaza,,,,,,20199.71337890625,52.441112262857146,16.918929014285712
24924674,way,centrum_handlowe,G City Targówek,,,,,,63231.27392578125,52.303666911538464,21.057391120769218
25313887,way,centrum_handlowe,M1 Marki,,,,,,41320.14453125,52.305748125000015,21.08672007142857
25486689,way,centrum_handlowe,Centrum Handlowe Krokus,,,,,,26931.37060546875,50.08708219583332,19.981659833333328
25822244,way,centrum_handlowe,Westfield Mokotów,,,Westfield,,,44878.46044921875,52.17971310945948,21.004163021621626
25914883,way,centrum_handlowe,Fort Wola,,,,,,30480.30224609375,52.22378066071427,20.92687088928571
27586344,way,centrum_handlowe,Blue City,,,,,,22442.95361328125,52.21268245243903,20.95570199756097
27718045,way,centrum_handlowe,Park Handlowy Zakopianka,,,,,,32549.35888671875,50.01381184556961,19.932296564556964
28133642,way,centrum_handlowe,Auchan Swadzim,,,,,,29595.283203125,52.44025683965519,16.765770732758618
28196090,way,centrum_handlowe,Panorama,,,,,,15002.0732421875,52.38106888688524,16.895907721311474
28355980,way,centrum_handlowe,Centrum Handlowe Auchan Piaseczno,,,,,,31722.98876953125,52.09582471111112,21.022495977777776
29115679,way,centrum_handlowe,,,,,,,28175.826171875,52.21443577173913,20.88345641521739
29300128,way,centrum_handlowe,Centrum Handlowe Ursynów,,,,,,36548.412109375,52.14127903783785,21.025606835135136
29431436,way,centrum_handlowe,Galeria Mozaika,,,,,,16946.34375,50.01360637419355,19.99628320645161
29490706,way,centrum_handlowe,Centrum Handlowe Auchan Mikołów,,,,,,27240.17919921875,50.1786231814433,18.886745828865976
29975740,way,centrum_handlowe,Atrium Reduta,,,,,,37270.86669921875,52.21308952833332,20.95098702
