location_id,source_layer,name,latitude,longitude,dedup_status,matched_ref,match_distance_m,amenity,highway,operator,brand,capacity,ref,province,district,city,n_points,total_power_kw,max_power_kw,nearest_dk_odcinek_id,nearest_dk_droga,nearest_dk_dist_m,nearest_dk_ten_t,nearest_dk_sdrr_ogolem,nearest_dk_sam_osobowe,nearest_dk_lekkie_ciezarowe,nearest_dw_odcinek_id,nearest_dw_droga,nearest_dw_dist_m,nearest_dw_sdrr_ogolem,nearest_dw_sam_osobowe,traffic_primary_source,traffic_primary_dist_m,traffic_primary_sdrr_ogolem,traffic_primary_sam_osobowe,ten_t,existing_eipa_stations_1km,existing_eipa_power_kw_1km,existing_eipa_stations_2km,existing_eipa_power_kw_2km,teryt_powiat_geo,powiat_nazwa_geo,station_suspended,existing_eipa_stations_active_1km,existing_eipa_power_kw_active_1km,existing_eipa_stations_active_2km,existing_eipa_power_kw_active_2km,traffic_confidence,nearest_dk_coord_source,nearest_dw_coord_source,moc_nieznana,existing_eipa_moc_nieznana_liczba_1km,existing_eipa_moc_nieznana_liczba_2km,moc_szacowana,powiat_wojewodztwo,powiat_nazwa,powiat_powierzchnia_km2,powiat_ludnosc,powiat_gestosc_zaludnienia,cepik_dane_dostepne,powiat_liczba_bev,powiat_liczba_phev,powiat_liczba_ev_razem,powiat_ev_na_1000_mieszkancow,powiat_liczba_stacji_eipa,powiat_moc_stacji_eipa_kw,powiat_moc_kw_na_1000_mieszkancow,powiat_scalony_obszar,powiat_ev_dane_zanizone,segment,udzial_jednorodzinne_nsp,_powiat_klucz,sesje_rocznie_szacunek,energia_kwh_rocznie_szacunek,udzial_lokalizacji,sklonnosc_ladowania_publicznego,luka_infrastrukturalna_powiatu,mnoznik_luki_infrastrukturalnej,ranga_percentylowa_w_segmencie,_klucz_powiatu,pewnosc_danych_mnoznik,dane_prawdopodobnie_zanizone,dystans_do_hubu_afir_km,afir_luka_mnoznik,dostawcze_mnoznik,konkurencja_korekta_mnoznik,ruch_mnoznik,wynik_scoringowy,ranking_scoringowy_procentyl,skladowa_udzial_konkurencji,skladowa_pewnosc_danych,skladowa_luka_afir,skladowa_ruch_drogowy,skladowa_ruch_dostawczy,skladowa_korekta_konkurencji,skladowa_luka_infrastrukturalna,skladowa_sklonnosc_publiczna,index_right,tot,_suma_siatki_powiat,udzial_populacji
mop_00000,mop,MOP Sędzinko,52.3879889,16.4749699,unique,,,,services,,,,,,,,,,,90823.0,A2,4528.195539922711,bazowa,25148.0,16028.0,2815.0,30348.0,306,3598.859265867494,5306.0,4194.0,dw,3598.859265867494,5306.0,4194.0,bazowa,2.0,144.0,2.0,144.0,3024,powiat szamotulski,,2.0,144.0,2.0,144.0,srednia,oryginalne,oryginalne,False,0.0,0.0,False,WIELKOPOLSKIE,szamotulski,1119,91631,82.0,True,160.0,96.0,256.0,2.79,14.0,1341.0,,False,False,korytarzowa,0.8489751298168898,WIELKOPOLSKIE|szamotulski,120.71841081741968,2800.667130964136,0.2340425531914893,,,,0.1912177328843995,WIELKOPOLSKIE|szamotulski,0.9,False,7.04338622825149,1.0,1.0252805280528057,1.521047966837174,1.0,3930.878526016463,0.0769116334424278,0.2340425531914893,0.9,1.0,1.0,1.0252805280528057,1.521047966837174,,,50714.0,97.0,92174.0,0.0001753929162959
mop_00001,mop,Port Świecko (Shell),52.3131936,14.6415251,unique,,,,services,,,,,,,,,,,31749.0,29,635.6178024060421,,6516.0,3781.0,902.0,8015.0,137,6364.396155335254,7377.0,5888.0,dk,635.6178024060421,6516.0,3781.0,,2.0,1400.0,2.0,1400.0,805,powiat słubicki,,2.0,1400.0,2.0,1400.0,wysoka,oryginalne,oryginalne,False,1.0,1.0,False,LUBUSKIE,słubicki,999,45679,46.0,True,85.0,42.0,127.0,2.78,17.0,4164.0,,False,False,korytarzowa,0.746977329974811,LUBUSKIE|słubicki,14.16910494158731,328.7232346448256,0.0304709141274238,,,,0.0221661054994388,LUBUSKIE|słubicki,1.0,False,,1.0,0.9413621362136214,4.94193106221869,1.0,1529.268738139585,0.0190419518000595,0.0304709141274238,1.0,1.0,1.0,0.9413621362136214,4.94193106221869,,,4597.0,3.0,46347.0,4.97916220616719e-06
mop_00002,mop,MOP III Jaworzno Zastawie,50.149295,19.299451,unique,,,,services,Stalexport Autostrada Małopolska S.A.,,,,,,,,,,20433.0,A4,3393.1295762665018,bazowa,57052.0,43642.0,5255.0,12050.0,933,4835.300331967551,4062.0,3302.0,dk,3393.1295762665018,57052.0,43642.0,bazowa,2.0,388.0,2.0,388.0,1203,powiat chrzanowski,,2.0,388.0,2.0,388.0,srednia,oryginalne,oryginalne,False,0.0,0.0,False,MAŁOPOLSKIE,chrzanowski,370,117756,318.0,True,341.0,78.0,419.0,3.56,14.0,2004.0,,False,False,korytarzowa,0.8748856059615636,MAŁOPOLSKIE|chrzanowski,546.6682244255683,12682.702806673184,0.1018518518518518,,,,0.5394219977553311,MAŁOPOLSKIE|chrzanowski,0.9,False,23.134743175948405,1.0,1.0781158115811582,2.473378775633395,1.0,30437.59754456436,0.5969949419815531,0.1018518518518518,0.9,1.0,1.0,1.0781158115811582,2.473378775633395,,,163751.0,56.0,121872.0,0.0001531661634064
mop_00003,mop,MOP Jaworzno Kępnica,50.1474728,19.298265,unique,,,,services,Stalexport Autostrada Małopolska S.A.,,,,,,,,,,20433.0,A4,3499.613860182531,bazowa,57052.0,43642.0,5255.0,12050.0,933,4891.091794838653,4062.0,3302.0,dk,3499.613860182531,57052.0,43642.0,bazowa,2.0,388.0,2.0,388.0,1203,powiat chrzanowski,,2.0,388.0,2.0,388.0,srednia,oryginalne,oryginalne,False,0.0,0.0,False,MAŁOPOLSKIE,chrzanowski,370,117756,318.0,True,341.0,78.0,419.0,3.56,14.0,2004.0,,False,False,korytarzowa,0.8748856059615636,MAŁOPOLSKIE|chrzanowski,546.6682244255683,12682.702806673184,0.1018518518518518,,,,0.5394219977553311,MAŁOPOLSKIE|chrzanowski,0.9,False,23.32182941621299,1.0,1.0781158115811582,2.473378775633395,1.0,30437.59754456436,0.5969949419815531,0.1018518518518518,0.9,1.0,1.0,1.0781158115811582,2.473378775633395,,,163705.0,0.0,121872.0,0.0
mop_00004,mop,,52.5409303,17.6319485,unique,,,,services,,,,,,,,,,,90326.0,15a,1632.6353019938845,,10685.0,7899.0,977.0,30322.0,194,2051.427520763411,14905.0,11887.0,dk,1632.6353019938845,10685.0,7899.0,,0.0,0.0,2.0,312.0,3003,powiat gnieźnieński,,0.0,0.0,2.0,312.0,wysoka,oryginalne,oryginalne,False,0.0,0.0,False,WIELKOPOLSKIE,gnieźnieński,1255,140653,112.0,True,328.0,114.0,442.0,3.14,25.0,5015.0,,False,False,korytarzowa,0.7851366613959793,WIELKOPOLSKIE|gnieźnieński,120.06738404033456,2785.5633097357613,0.1235955056179775,,,,0.1893939393939394,WIELKOPOLSKIE|gnieźnieński,1.0,False,,1.0,0.944962496249625,2.208895109669026,1.0,5814.3704668385135,0.1300208271347813,0.1235955056179775,1.0,1.0,1.0,0.944962496249625,2.208895109669026,,,88331.0,2769.0,142219.0,0.0038939944733122
mop_00005,mop,Autoport Olszyna,51.665705,14.7667439,unique,,,,services,,,,,,,,,,,31701.0,A18,603.3541364451918,kompleksowa,11398.0,5827.0,1219.0,8120.0,294,4554.961926251832,1800.0,1453.0,dk,603.3541364451918,11398.0,5827.0,kompleksowa,0.0,0.0,0.0,0.0,811,powiat żarski,,0.0,0.0,0.0,0.0,wysoka,oryginalne,oryginalne,False,0.0,0.0,False,LUBUSKIE,żarski,1393,90364,65.0,True,156.0,51.0,207.0,2.29,13.0,1400.0,,False,False,korytarzowa,0.7813057657990278,LUBUSKIE|żarski,716.6304775687328,16625.8270795946,1.0,,,,0.6165824915824916,LUBUSKIE|żarski,1.0,False,57.033002309055775,1.1171430100059083,0.9565736573657366,1.0,1.0,17766.850524127483,0.3858970544480809,1.0,1.0,1.1171430100059083,1.0,0.9565736573657366,1.0,,,7857.0,0.0,93549.0,0.0
mop_00006,mop,BZ,50.4619206,19.2322553,unique,,,,services,,,,,,,,,,,40714.0,91i,279.89838757939555,,12850.0,9682.0,1188.0,24289.0,793,3245.727181274556,7413.0,5952.0,dk,279.89838757939555,12850.0,9682.0,,1.0,72.0,1.0,72.0,2401,powiat będziński,,1.0,72.0,1.0,72.0,wysoka,oryginalne,oryginalne,False,0.0,0.0,False,ŚLĄSKIE,będziński,364,143640,394.0,True,374.0,102.0,476.0,3.31,17.0,1477.0,,False,False,korytarzowa,0.8542372881355932,ŚLĄSKIE|będziński,451.6583272993447,10478.473193344797,0.3793103448275862,,,,0.4943883277216611,ŚLĄSKIE|będziński,1.0,False,,1.0,0.9550735073507352,1.1567035208394594,1.0,11575.955873031364,0.2874144599821481,0.3793103448275862,1.0,1.0,1.0,0.9550735073507352,1.1567035208394594,,,158721.0,681.0,145343.0,0.0015618227228005
mop_00007,mop,MOP Krzyżowniki,52.3276362,17.093121,unique,,,,services,,,,,,,,,,,90327.0,A2,2247.893964172931,bazowa,55042.0,37087.0,5442.0,30190.0,434,5166.884742323395,5885.0,4951.0,dk,2247.893964172931,55042.0,37087.0,bazowa,1.0,194.0,1.0,194.0,3021,powiat poznański,,1.0,194.0,1.0,194.0,srednia,oryginalne,oryginalne,False,0.0,0.0,False,WIELKOPOLSKIE,Poznań + poznański (obszar metropolitalny),2162,990434,458.1,True,10237.0,4968.0,15205.0,15.35,337.0,41222.0,41.62,True,True,korytarzowa,0.6398746506309816,WIELKOPOLSKIE|Poznań + poznański (obszar metropolitalny),843.2331662011167,19563.009455865908,0.1848739495798319,,,,0.6491301907968574,WIELKOPOLSKIE|Poznań + poznański (obszar metropolitalny),0.9,True,7.013316447201238,1.0,1.07976597659766,1.7449898812889226,1.0,33174.220424100575,0.631508479619161,0.1848739495798319,0.9,1.0,1.0,1.07976597659766,1.7449898812889226,,,71145.0,0.0,978388.0,0.0
mop_00008,mop,MOP Brwinów Północ,52.1558439,20.6868014,unique,,,,services,,,,,,,,,,,10934.0,A2,4280.87116053956,bazowa,83473.0,63212.0,7678.0,14354.0,720,2002.1770728087124,4413.0,3963.0,dw,2002.1770728087124,4413.0,3963.0,bazowa,2.0,144.0,2.0,144.0,1421,powiat pruszkowski,,2.0,144.0,2.0,144.0,srednia,oryginalne,oryginalne,False,0.0,0.0,False,MAZOWIECKIE,pruszkowski,246,181026,735.0,True,1273.0,713.0,1986.0,10.97,38.0,4716.0,,False,False,korytarzowa,0.9057794178917922,MAZOWIECKIE|pruszkowski,114.0693996350582,2646.41007153335,0.2340425531914893,,,,0.1785914702581369,MAZOWIECKIE|pruszkowski,0.9,False,10.721551609082852,1.0,1.0943174317431743,1.521047966837174,1.0,3964.4767691343113,0.0773579291877417,0.2340425531914893,0.9,1.0,1.0,1.0943174317431743,1.521047966837174,,,200884.0,56.0,176872.0,7.91532859921299e-05
mop_00009,mop,MOP Brwinów Południe,52.1542673,20.6863039,unique,,,,services,,,,,,,,,,,10934.0,A2,4212.165056218166,bazowa,83473.0,63212.0,7678.0,14354.0,720,1955.6208687096123,4413.0,3963.0,dw,1955.6208687096123,4413.0,3963.0,bazowa,2.0,144.0,2.0,144.0,1421,powiat pruszkowski,,2.0,144.0,2.0,144.0,wysoka,oryginalne,oryginalne,False,0.0,0.0,False,MAZOWIECKIE,pruszkowski,246,181026,735.0,True,1273.0,713.0,1986.0,10.97,38.0,4716.0,,False,False,korytarzowa,0.9057794178917922,MAZOWIECKIE|pruszkowski,114.0693996350582,2646.41007153335,0.2340425531914893,,,,0.1785914702581369,MAZOWIECKIE|pruszkowski,1.0,False,10.590108095448544,1.0,1.0943174317431743,1.521047966837174,1.0,4404.974187927013,0.0901517405534067,0.2340425531914893,1.0,1.0,1.0,1.0943174317431743,1.521047966837174,,,200884.0,56.0,176872.0,7.91532859921299e-05
