location_id,source_layer,name,latitude,longitude,dedup_status,matched_ref,match_distance_m,amenity,highway,operator,brand,capacity,ref,province,district,city,n_points,total_power_kw,max_power_kw,nearest_dk_odcinek_id,nearest_dk_droga,nearest_dk_dist_m,nearest_dk_ten_t,nearest_dk_sdrr_ogolem,nearest_dk_sam_osobowe,nearest_dk_lekkie_ciezarowe,nearest_dw_odcinek_id,nearest_dw_droga,nearest_dw_dist_m,nearest_dw_sdrr_ogolem,nearest_dw_sam_osobowe,traffic_primary_source,traffic_primary_dist_m,traffic_primary_sdrr_ogolem,traffic_primary_sam_osobowe,ten_t,existing_eipa_stations_1km,existing_eipa_power_kw_1km,existing_eipa_stations_2km,existing_eipa_power_kw_2km,teryt_powiat_geo,powiat_nazwa_geo,station_suspended,existing_eipa_stations_active_1km,existing_eipa_power_kw_active_1km,existing_eipa_stations_active_2km,existing_eipa_power_kw_active_2km,traffic_confidence,nearest_dk_coord_source,nearest_dw_coord_source,moc_nieznana,existing_eipa_moc_nieznana_liczba_1km,existing_eipa_moc_nieznana_liczba_2km,moc_szacowana,powiat_wojewodztwo,powiat_nazwa,powiat_powierzchnia_km2,powiat_ludnosc,powiat_gestosc_zaludnienia,cepik_dane_dostepne,powiat_liczba_bev,powiat_liczba_phev,powiat_liczba_ev_razem,powiat_ev_na_1000_mieszkancow,powiat_liczba_stacji_eipa,powiat_moc_stacji_eipa_kw,powiat_moc_kw_na_1000_mieszkancow,powiat_scalony_obszar,powiat_ev_dane_zanizone,segment,udzial_jednorodzinne_nsp,_powiat_klucz,sesje_rocznie_szacunek,energia_kwh_rocznie_szacunek,udzial_lokalizacji,sklonnosc_ladowania_publicznego,luka_infrastrukturalna_powiatu,mnoznik_luki_infrastrukturalnej,ranga_percentylowa_w_segmencie,_klucz_powiatu,pewnosc_danych_mnoznik,dane_prawdopodobnie_zanizone,dystans_do_hubu_afir_km,afir_luka_mnoznik,dostawcze_mnoznik,konkurencja_korekta_mnoznik,ruch_mnoznik,wynik_scoringowy,ranking_scoringowy_procentyl,skladowa_udzial_konkurencji,skladowa_pewnosc_danych,skladowa_luka_afir,skladowa_ruch_drogowy,skladowa_ruch_dostawczy,skladowa_korekta_konkurencji,skladowa_luka_infrastrukturalna,skladowa_sklonnosc_publiczna,index_right,tot,_suma_siatki_powiat,udzial_populacji,za_blisko_eipa_100m,czy_top1000_nms,pozycja_ranking_nms
supermarket_9006624058,supermarket,Stokrotka,50.2827561,18.6663281,unique,,,,,,Stokrotka,,,,,,,,,,,,,,,5038.0,,,,,,dk,2914.480081485832,46429.0,29701.0,,,,,,2466,powiat Gliwice,,,463.0,,1266.0,srednia,,,,,,,ŚLĄSKIE,Gliwice + gliwicki (obszar metropolitalny),799,281200,351.9,,1418.0,516.0,1934.0,6.88,85.0,7095.0,25.23,True,True,docelowa,0.5821158996834672,,268.5170389576963,9398.09636351937,,0.392518870221573,0.1611940298507462,1.0805970149253732,,ŚLĄSKIE|Gliwice + gliwicki (obszar metropolitalny),1.0,True,,1.0,1.0,0.5313294630351458,1.1072598754720833,5529.086126680296,0.792589568235174,,1.0,1.0,1.1072598754720833,1.0,0.5313294630351458,1.0805970149253732,0.392518870221573,138689,10857,289806,0.0034057265895116,False,False,
supermarket_9010905036,supermarket,Netto,52.1146754,20.6222445,unique,,,,,,Netto,,,,,,,,,,,,,,,1147.0,,,,,,dw,1997.7502185826647,13905.0,10928.0,,,,,,1405,powiat grodziski,,,504.0,,739.0,wysoka,,,,,,,MAZOWIECKIE,grodziski,367,106973,291.0,,677.0,270.0,947.0,8.85,18.0,2085.0,,False,False,docelowa,0.9127964836622988,,60.88271446646244,2130.8950063261855,,0.1610424614363908,0.2955223880597014,1.1477611940298509,,MAZOWIECKIE|grodziski,1.0,False,,1.0,1.0,0.5721160745737557,1.0167576809227314,1239.5488983555258,0.5111768908849648,,1.0,1.0,1.0167576809227314,1.0,0.5721160745737557,1.1477611940298509,0.1610424614363908,198523,2621,102470,0.0036540311450041,True,False,
supermarket_9018139333,supermarket,Biedronka,49.3977945,20.107509,unique,,,,,,Biedronka,,,,,,,,,,,,,,,1160.0,,,,,,dk,3653.8007636470384,12398.0,10785.0,,,,,,1217,powiat tatrzański,,,44.0,,85.0,srednia,,,,,,,MAŁOPOLSKIE,tatrzański,472,66346,141.0,,207.0,33.0,240.0,3.62,24.0,1128.0,,False,False,docelowa,0.9206504702194356,,20.886679865687857,731.033795299075,,0.1555446708463951,0.135820895522388,1.067910447761194,,MAŁOPOLSKIE|tatrzański,1.0,False,,1.0,1.0,0.8058435415222304,1.0152189445748698,598.0643255149106,0.3522506889864244,,1.0,1.0,1.0152189445748698,1.0,0.8058435415222304,1.067910447761194,0.1555446708463951,202445,338,66222,0.0051040439733019,False,False,
supermarket_9020274502,supermarket,Carrefour Market,53.7769054,20.4827559,unique,,,,,,Carrefour Market,,,,,,,,,,,,,,,1827.0,,,,,,dk,4823.689946320897,20511.0,16820.0,,,,,,2862,powiat Olsztyn,,,928.0,,1662.0,srednia,,,,,,,WARMIŃSKO-MAZURSKIE,Olsztyn + olsztyński (obszar metropolitalny),2926,296952,101.5,,1549.0,636.0,2185.0,7.36,101.0,13334.0,44.9,True,True,docelowa,0.6621621621621622,,149.2523950814061,5223.833827849213,,0.3364864864864865,0.0149253731343284,1.0074626865671643,,WARMIŃSKO-MAZURSKIE|Olsztyn + olsztyński (obszar metropolitalny),1.0,True,,1.0,1.0,0.48086557659694806,1.0723741961825048,2693.7630865447127,0.6662753904256405,,1.0,1.0,1.0723741961825048,1.0,0.48086557659694806,1.0074626865671643,0.3364864864864865,178517,5077,298845,0.0021235924977831,False,False,
supermarket_9026419598,supermarket,Dino,51.306512,17.0621056,unique,,,,,,Dino,,,,,,,,,,,,,,,379.0,,,,,,dw,984.1448065841518,4814.0,4103.0,,,,,,220,powiat trzebnicki,,,197.0,,219.0,wysoka,,,,,,,DOLNOŚLĄSKIE,trzebnicki,1025,87765,86.0,,258.0,71.0,329.0,3.75,9.0,468.0,,False,False,docelowa,0.8633053221288516,,139.27352850154458,4874.57349755406,,0.1956862745098039,0.5582089552238806,1.2791044776119402,,DOLNOŚLĄSKIE|trzebnicki,1.0,False,,1.0,1.0,0.6979993195673245,0.9046060018372971,3077.8757723000776,0.6885015821169745,,1.0,1.0,0.9046060018372971,1.0,0.6979993195673245,1.2791044776119402,0.1956862745098039,75800,7460,87064,0.0171368188918496,False,False,
supermarket_9043629398,supermarket,Stokrotka Supermarket,52.280303,21.1333043,unique,,,,,,Stokrotka,,,,,,,,,,,,,,,3809.0,,,,,,dw,1324.340248175045,48495.0,42635.0,,,,,,1434,powiat wołomiński,,,44.0,,258.0,wysoka,,,,,,,MAZOWIECKIE,wołomiński,954,277725,291.0,,871.0,270.0,1141.0,4.11,48.0,5695.0,,False,False,docelowa,0.8913847342568575,,298.9316583480214,10462.60804218075,,0.1760306860201997,0.153731343283582,1.076865671641791,,MAZOWIECKIE|wołomiński,1.0,False,,1.0,1.0,0.7306490315665604,1.1202893742982545,8564.045885933712,0.8545983464325814,,1.0,1.0,1.1202893742982545,1.0,0.7306490315665604,1.076865671641791,0.1760306860201997,216733,11086,261057,0.0141552738801615,False,False,
supermarket_9045417662,supermarket,Biedronka,51.0423889,21.0867795,unique,,,,,,Biedronka,,,,,,,,,,,,,,,855.0,,,,,,dk,1550.319732930113,9908.0,7876.0,,,,,,2611,powiat starachowicki,,,346.0,,346.0,wysoka,,,,,,,ŚWIĘTOKRZYSKIE,starachowicki,523,82681,158.0,,143.0,41.0,184.0,2.23,6.0,1031.0,,False,False,docelowa,0.889645612343298,,104.14994250702672,3645.2479877459355,,0.1772480713596914,-0.1044776119402984,0.9477611940298508,,ŚWIĘTOKRZYSKIE|starachowicki,1.0,False,,1.0,1.0,0.6418352350680391,0.969853016229458,2269.1152507504844,0.6374910686944983,,1.0,1.0,0.969853016229458,1.0,0.6418352350680391,0.9477611940298508,0.1772480713596914,226840,5900,86094,0.0342648732780449,False,False,
supermarket_9048061523,supermarket,Biedronka,53.2414879,19.409189,unique,,,,,,Biedronka,,,,,,,,,,,,,,,663.0,,,,,,dw,956.5530310103102,11608.0,10416.0,,,,,,402,powiat brodnicki,,,0.0,,364.0,wysoka,,,,,,,KUJAWSKO-POMORSKIE,brodnicki,1040,77345,74.0,,142.0,57.0,199.0,2.57,7.0,624.0,,False,False,docelowa,0.8959713397323239,,86.51745855007549,3028.1110492526423,,0.1728200621873732,0.1611940298507462,1.0805970149253732,,KUJAWSKO-POMORSKIE|brodnicki,1.0,False,,1.0,1.0,0.7118845648206634,1.0106946003878738,2178.7194977950235,0.6282025109727467,,1.0,1.0,1.0106946003878738,1.0,0.7118845648206634,1.0805970149253732,0.1728200621873732,144000,1915,78244,0.024474720106334,False,False,
supermarket_9060929917,supermarket,Dino,50.3854198,19.7751219,unique,,,,,,Dino,,,,,,,,,,,,,,,712.0,,,,,,dw,1306.2417533158314,11036.0,9683.0,,,,,,1212,powiat olkuski,,,0.0,,0.0,wysoka,,,,,,,MAŁOPOLSKIE,olkuski,618,105000,170.0,,283.0,93.0,376.0,3.58,7.0,1407.0,,False,False,docelowa,0.9065682158196998,,207.90859581834272,7276.800853641995,,0.1654022489262101,0.2626865671641791,1.1313432835820896,,MAŁOPOLSKIE|olkuski,1.0,False,,1.0,1.0,1.0,0.9990201081963865,7269.670376128984,0.8321935286312137,,1.0,1.0,0.9990201081963865,1.0,1.0,1.1313432835820896,0.1654022489262101,180061,3300,108435,0.03043297828192,False,True,863.0
supermarket_9063074843,supermarket,Biedronka,49.4787286,20.0268343,unique,,,,,,Biedronka,,,,,,,,,,,,,,,1516.0,,,,,,dk,602.3363009186978,18065.0,15561.0,,,,,,1211,powiat nowotarski,,,88.0,,826.0,wysoka,,,,,,,MAŁOPOLSKIE,nowotarski,1475,189984,129.0,,481.0,90.0,571.0,3.01,23.0,2460.0,,False,False,docelowa,0.9618803713462531,,167.67855946926167,5868.749581424158,,0.1266837400576227,0.135820895522388,1.067910447761194,,MAŁOPOLSKIE|nowotarski,1.0,False,,1.0,1.0,0.6092632074181102,1.0645274063488823,3806.3382389963595,0.7278758803715423,,1.0,1.0,1.0645274063488823,1.0,0.6092632074181102,1.067910447761194,0.1266837400576227,198202,4070,190563,0.0213577661980552,False,False,
